rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | fsize | role
----------------------------------------------------------------------------
9       | 0.52        | 1755.506       | 1760.3223   | 0.046       | 35328 | abells_sdraft_u

18      | 0.52        | 63006.871      | 63014.4882  | 0.052       | 96325 | abells_sdraft_u

7       | 0.52        | 2167.301       | 2171.0095   | 0.051       | 53248 | abells_sdraft_u

9       | 0.52        | 19358.774      | 19370.0626  | 0.052       | 157457| abells_sdraft_u

12      | 0.52        | 14906.293      | 14928.556   | 0.056       | 293376| abells_sdraft_u

8       | 0.52        | 5690.902       | 5723.1045   | 0.056       | 435200| abells_sdraft_u

13      | 0.52        | 20802.867      | 20805.9044  | 0.052       | 37807 | abells_sdraft_u

7       | 0.52        | 611.291        | 614.0969    | 0.052       | 35328 | acoast_stask_u

8       | 0.52        | 28568.481      | 28574.8086  | 0.053       | 96325 | acoast_stask_u

6       | 0.52        | 1996.303       | 1999.9287   | 0.054       | 53248 | acoast_stask_u

7       | 0.52        | 15476.379      | 15486.1832  | 0.053       | 157457| acoast_stask_u

3       | 0.52        | 3814.142       | 3832.545    | 0.078       | 293376| acoast_stask_u

14      | 0.52        | 10372.132      | 10403.9094  | 0.056       | 435200| acoast_stask_u

11      | 0.52        | 18420.404      | 18423.5189  | 0.053       | 37807 | acoast_stask_u

9       | 0.52        | 821.722        | 824.451     | 0.053       | 35328 | abells_sdraft_u
11      | 0.52        | 40420.163      | 40427.5048  | 0.053       | 96325 | abells_sdraft_u
6       | 0.52        | 2177.691       | 2181.3147   | 0.056       | 53248 | abells_sdraft_u
10      | 0.52        | 22561.954      | 22572.5198  | 0.054       | 157457| abells_sdraft_u
9       | 0.52        | 12326.37       | 12347.3539  | 0.057       | 293376| abells_sdraft_u
7       | 0.52        | 5835.841       | 5868.8574   | 0.057       | 435200| abells_sdraft_u
8       | 0.52        | 13128.265      | 13131.3243  | 0.052       | 37807 | abells_sdraft_u
11      | 0.52        | 1904.072       | 1908.9139   | 0.046       | 35328 | abells_sdraft_u

7       | 0.52        | 24404.543      | 24412.9717  | 0.053       | 96325 | abells_sdraft_u

9       | 0.52        | 2785.36        | 2789.2125   | 0.052       | 53248 | abells_sdraft_u

1       | 0.52        | 2163.933       | 2175.112    | 0.053       | 157457| abells_sdraft_u

9       | 0.52        | 11030.331      | 11051.275   | 0.056       | 293376| abells_sdraft_u

6       | 0.52        | 4152.455       | 4182.5616   | 0.056       | 435200| abells_sdraft_u

0       | 0.52        | 83.29          | 86.3926     | 0.051       | 37807 | abells_sdraft_u

10      | 0.52        | 879.263        | 882.0477    | 0.052       | 35328 | acoast_stask_u

15      | 0.52        | 52288.921      | 52295.1932  | 0.052       | 96325 | acoast_stask_u

9       | 0.52        | 2878.684       | 2883.5886   | 0.05        | 53248 | acoast_stask_u

9       | 0.52        | 19424.679      | 19434.4733  | 0.053       | 157457| acoast_stask_u

12      | 0.52        | 14997.116      | 15014.6673  | 0.057       | 293376| acoast_stask_u

9       | 0.52        | 7065.433       | 7095.5987   | 0.055       | 435200| acoast_stask_u

2       | 0.52        | 3246.975       | 3250.0231   | 0.051       | 37807 | acoast_stask_u

7       | 0.52        | 637.698        | 640.6131    | 0.055       | 35328 | abells_sdraft_u
6       | 0.52        | 21297.347      | 21304.858   | 0.053       | 96325 | abells_sdraft_u
7       | 0.52        | 2377.907       | 2382.4565   | 0.054       | 53248 | abells_sdraft_u
4       | 0.52        | 9258.351       | 9267.8907   | 0.053       | 157457| abells_sdraft_u
12      | 0.52        | 16164.834      | 16184.3383  | 0.055       | 293376| abells_sdraft_u
6       | 0.52        | 4895.223       | 4924.696    | 0.059       | 435200| abells_sdraft_u
9       | 0.52        | 16304.685      | 16307.9736  | 0.051       | 37807 | abells_sdraft_u
